symptoms,topic
"Follow up carefully with your provider.,Ask about when you need mammograms or a test to check your bones.,DO NOT smoke. Smoking will increase the chance of blood clots in your legs or your lungs.,Report any new vaginal bleeding right away. Also report menstrual bleeding that comes more often or is more severe. ",Managing menopause at home
"Balloons,Condoms and diaphragms,Rubber bands,Shoe soles,Bandages,Latex gloves,Toys,Paint,Carpet backing,Baby-bottle nipples and pacifiers,Clothing, including rain coats and elastic on underwear,Food that was prepared by someone who was wearing latex gloves,Handles on sports rackets and tools,Diapers, sanitary napkins, and other pads, such as Depends,Buttons and switches on computers and other electronic devices ,Bananas,Avocado,Chestnuts ,Kiwi,Peaches,Nectarines,Celery,Melons,Tomatoes,Papayas,Figs,Potatoes,Apples,Carrots ",Managing latex allergies at home 
,Mammogram - calcifications
,Mammogram
"Abnormal alignment of teeth,Abnormal appearance of the face,Difficulty or discomfort when biting or chewing,Speech difficulties (rare), including lisp,Mouth breathing (breathing through the mouth without closing the lips)",Malocclusion of teeth
,Malnutrition
 (bright red) ,Mallory-Weiss tear
"Is stretched or torn,Pulls a piece of bone away from the rest of the bone (avulsion fracture) ",Mallet finger - aftercare
"Chest pain or pressure,Cough,Fatigue,Limited ability to tolerate exercise,Shortness of breath",Malignant teratoma
"Ongoing , that is yellow or green and smells bad., deep inside the ear. Pain may get worse when you move your head.,., of the ear or ear canal.,Fever.,Trouble swallowing.,Weakness in the muscles of the face.",Malignant otitis externa
", especially when taking a deep breath,Fever and sweating",Malignant mesothelioma
"Bleeding,Dark brown urine,Muscle ache without an obvious cause, such as exercise or injury, and stiffness,Rise in body temperature to 105°F (40.6°C) or higher",Malignant hyperthermia
"Change in mental status, such as: ,, ,, ,, decreased ability to concentrate, ,,,, ,, or , (feeling of crushing or pressure), of the arms, legs, face, or other areas, output, of the arms, legs, face, or other areas ",Malignant hypertension
,Malignancy
,Male pattern baldness
,Malathion poisoning
"Chills, fever, sweating,Headache,Muscle pain,Nausea and vomiting ",Malaria
"Acute bronchitis or ,Acute viral syndrome, (EBV),Chronic active ,Disease caused by parasites,Acute or chronic kidney disease,Acute or chronic , dysfunction,Pituitary gland dysfunction (rare),Thyroid disease ,Lymphoma (cancer that starts in the ,),Solid tumor cancers, such as ,Severe ,Anticonvulsant (antiseizure) medicines,Antihistamines,Beta blockers (medicines used to treat heart disease or high blood pressure),Psychiatric medicines,Treatments involving several medicines ",Malaise
"Bloating, cramping, and gas,Bulky stools,Chronic diarrhea,Fatty stools (steatorrhea)",Malabsorption
"Keep clothes that you wear most often in drawers and on shelves that are between waist and shoulder level.,Store food in a cupboard and drawers that are between waist and shoulder level. ,Make sure everything you need is on the same floor where you spend most of your day.,Have a bathroom or a portable commode on the same floor where you spend most of your day.,Set up your bed on the main floor of your home. ",Making everyday tasks easier - arthritis
" You do not need to do all 30 minutes of exercise at one time. You can get the same health benefits from doing three 10-minute sessions, or two 15-minute workouts. For example, you could do 10 minutes of squats and push-ups in the morning, take a brisk 10-minute walk after lunch, then play a round of hoops with the kids after dinner., DO NOT struggle to do an exercise you do not like. There are endless ways to get moving. Keep trying until you find ,. Then keep mixing it up., If possible, bike, walk, or jog to and from work. You may find you feel less stressed and have more energy when you arrive. Plus, you will save money by not having to pay for parking, gas, or bus fare., A morning workout can boost your energy for the rest of the day. So set your alarm in the morning for 30 minutes earlier. Walk or jog around the neighborhood, or use a stationary bike or treadmill indoors., While a.m. exercise may be a great way to start the day, if you are not a morning person, it may feel like a chore. Instead, try exercising at lunchtime or after work., Make getting exercise just as important as your other appointments. Set aside time in your daily planner. No one needs to know what you are doing. They just need to know that you are not available during that time. Also, no matter what type of exercise you do, try to do it at the same time every day. This helps make it part of your routine. For example, you might swim after work every Monday, Wednesday, and Friday. Or you could take a walk after dinner every weeknight., Softball, basketball, hockey, and soccer are not just for kids. Look for recreational teams in your community. Most leagues are open to all skill levels. So do not worry if you have not played before. Joining a team can make exercise more fun and help keep you motivated., Use TV time to exercise. You can stretch, jog in place, jump rope, use resistance bands, or use a bike trainer while you watch your favorite TV shows., Your co-workers likely face the same struggles to exercise as you do. Get together with like-minded folks at work to walk or jog at lunch or after work., If you regularly meet a friend for coffee or lunch, think about making it an activity date instead. Take a walk or a hike, go bowling, or try a new exercise class together. Many people find exercising with a friend more fun., Working with a trainer can help teach you new ways to exercise and keep you motivated. Just make sure to ask about the trainer's qualifications. He or she should have an exercise certification from a national organization, such as the American College of Sports Medicine. Many gyms offer group training, which can help cut the cost., Plan weekly outings with your children that include exercise. Go bicycling, take a nature walk, or go swimming. Or, sign up for an exercise class for parents and children. ",Make time to move
,Make peak flow a habit!
"Am I due for any screening tests?,Should I keep taking this medicine?,What could be causing my symptoms?,Do I have other treatment options?,Should I worry about my family medical history? ,Describe your symptoms,Describe when and where they appear,Explain how long you have had symptoms and if they have changed ",Make the most of your doctor visit
"Delusions: False beliefs about what is taking place or who one is,Hallucinations: Seeing or hearing things that aren't there ",Major depression with psychotic features
"
  Agitation, restlessness, and irritability, and anger
  ,
  Becoming withdrawn or isolated
  ,
  Fatigue and lack of energy
  ,
  Feeling hopeless, helpless, worthless, guilty and self-hate
  ,
  Loss of interest or pleasure in activities that were once enjoyed
  ,
  Sudden change in appetite, often with weight gain or loss
  ,
  Thoughts of death or suicide
  ,
  Trouble concentrating
  ,
  Trouble sleeping or sleeping too much
  ",Major depression
"Brain aneurysm clips,Artificial heart valve, or pacemaker,Inner ear (cochlear) implants,Insulin or chemotherapy port,Intrauterine device (IUD),Kidney disease or dialysis (you may not be able to receive contrast),Neurostimulator,Recently placed artificial joints,Vascular ,Worked with sheet metal in the past (you may need tests to check for metal pieces in your eyes),Pocketknives, pens, and eyeglasses,Watches, credit cards, jewelry, and hearing aids,Hairpins, metal zippers, pins, and similar items,Removable dental implants",Magnetic resonance angiography
"Fruits or vegetables (such as bananas, dried apricots, and avocados),Nuts (such as almonds and cashews),Peas and beans (legumes), seeds,Soy products (such as soy flour and tofu),Whole grains (such as brown rice and millet),Milk",Magnesium in diet
,Magnesium blood test
", joint pain or stiffness, and neck pain (the pain may be severe and present most of the time),Bowing of the legs and other visible deformities,Enlarged head and skull deformities,Reduced height,Warm skin over the affected bone ",Paget disease of the bone
,Macule
,Macular degeneration - age-related
,Macula lutea
,Macrosomia
,Macroglossia
,Macroamylasemia
,Nuchal translucency test
"Irritation due to allergies, colds, , or sinus problems,Very cold or dry air,Blowing the nose very hard, or picking the nose,Injury to nose, including a ,, or an object stuck in the nose,Deviated septum,Chemical irritants
,Overuse of decongestant nasal sprays ",Nosebleed 
"Blood coming from the nose, around the eyes,Difficulty breathing through the nose,Misshapen appearance (may not be obvious until the swelling goes down),Pain,Swelling",Nose fracture
"Touch objects or surfaces that have been contaminated, then put their hands in their mouths. (Contaminated means the norovirus germ is present.),Eat or drink something contaminated. ",Norovirus - hospital
"Nortimil,Pertofrane,Sertofren",Norpramin overdose
